,created_at,id,text
0,2022-01-19T18:59:35.000Z,1483876812421677056,"Wordle 214 3/6

⬛⬛⬛🟨⬛
🟩⬛⬛🟩⬛
🟩🟩🟩🟩🟩"
1,2022-01-19T18:59:35.000Z,1483876810383405058,"Wordle 214 3/6

⬛⬛⬛⬛🟩
⬛🟩⬛⬛🟩
🟩🟩🟩🟩🟩"
2,2022-01-19T18:59:35.000Z,1483876809565675520,"Wordle 215 2/6

🟨🟩🟨⬜⬜
🟩🟩🟩🟩🟩"
3,2022-01-19T18:59:35.000Z,1483876809229758468,"Lucky first try.
Wordle 214 4/6

⬜⬜⬜⬜🟩
🟨🟨⬜⬜🟩
⬜⬜🟩🟩🟩
🟩🟩🟩🟩🟩"
4,2022-01-19T18:59:34.000Z,1483876806961033218,"Wordle 215 5/6

⬜⬜⬜🟨⬜
⬜⬜🟨⬜⬜
⬜🟩⬜⬜🟨
⬜⬜🟨🟩🟩
🟩🟩🟩🟩🟩"
5,2022-01-19T18:59:34.000Z,1483876806268575745,"Wordle 214 3/6

⬜🟨⬜⬜⬜
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩

Pretty easy one"
6,2022-01-19T18:59:34.000Z,1483876805706661892,"@pmarrai Wordle (ES) #13 3/6

⬜🟨⬜🟨⬜
🟩⬜🟩🟩⬜
🟩🟩🟩🟩🟩

https://t.co/HweZBsYcSI 😉"
7,2022-01-19T18:59:34.000Z,1483876805094576128,"Wordle 215 3/6

⬛🟨⬛⬛⬛
🟩🟩⬛⬛🟩
🟩🟩🟩🟩🟩"
8,2022-01-19T18:59:34.000Z,1483876804872085504,"Wordle 214 4/6. ⁦@Dear_Mr_Putin⁩           Look I did it!!!  I’m so excited.  But then I was all excited the time I went to Vegas and had my first winning. It was 10 cents. 😁

⬛⬛⬛🟨🟨
🟨🟩🟩⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
9,2022-01-19T18:59:33.000Z,1483876803148230657,"Wordle (ES) #13 6/6

🟨⬜🟩🟨⬜
⬜⬜🟩🟨🟨
⬜🟩🟩🟩⬜
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩

https://t.co/7BNHF8Dmna"
10,2022-01-19T18:59:33.000Z,1483876802888347653,"Wordle 215 3/6

⬛🟩⬛⬛🟩
🟩🟩⬛⬛🟩
🟩🟩🟩🟩🟩"
11,2022-01-19T18:59:33.000Z,1483876802502459398,"Wordle 215 5/6

🟨🟨⬛⬛⬛
⬛🟩🟨🟨⬛
⬛🟩⬛🟨🟩
🟩🟩🟨⬛🟩
🟩🟩🟩🟩🟩

#Wordle #Wordle215 

Ufff!! 😄😬😅"
12,2022-01-19T18:59:33.000Z,1483876801663356930,"Wordle 214 4/6

🟨⬛⬛⬛⬛
🟩🟩⬛🟨⬛
🟩🟩⬛🟨⬛
🟩🟩🟩🟩🟩"
13,2022-01-19T18:59:33.000Z,1483876800602075138,"Wordle 215 3/6

⬜🟩⬜⬜🟨
⬜🟩🟨⬜⬜
🟩🟩🟩🟩🟩"
14,2022-01-19T18:59:32.000Z,1483876799486783488,"bhakk 😏

Wordle 215 2/6

🟨⬜🟩⬜⬜
🟩🟩🟩🟩🟩"
15,2022-01-19T18:59:32.000Z,1483876796579864583,"@berto_hu 😌😌

Wordle (ES) #13 5/6

⬜⬜⬜⬜⬜
⬜⬜🟨🟨🟨
🟨⬜🟨⬜🟨
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩"
16,2022-01-19T18:59:31.000Z,1483876793958469634,"Wordle 214 3/6

⬛🟩⬛⬛⬛
⬛🟨⬛⬛🟩
🟩🟩🟩🟩🟩"
17,2022-01-19T18:59:31.000Z,1483876793006567424,"Wordle 215 5/6

⬛⬛🟨🟩⬛
🟨⬛⬛🟩🟨
🟩⬛🟨🟩⬛
🟩⬛⬛🟩🟩
🟩🟩🟩🟩🟩"
18,2022-01-19T18:59:31.000Z,1483876792838631433,"Wordle 214 3/6

⬛⬛⬛⬛⬛
🟩⬛🟨🟩⬛
🟩🟩🟩🟩🟩"
19,2022-01-19T18:59:30.000Z,1483876790942711812,"Wordle 215 3/6

⬜🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩"
20,2022-01-19T18:59:30.000Z,1483876790561304576,"Wordle 215 3/6

⬜🟨⬜⬜⬜
🟨⬜⬜🟩🟨
🟩🟩🟩🟩🟩"
21,2022-01-19T18:59:30.000Z,1483876789197828096,"Wordle 214 3/6

⬛🟨🟨🟩⬛
⬛🟩🟩🟩⬛️
🟩🟩🟩🟩🟩"
