,created_at,id,text
0,2022-01-19T14:09:22.000Z,1483803774229561351,seeing everyone with 🟩⬜🟨🟨⬜ in their wordle guesses and being like. ah yes. penis.
1,2022-01-19T14:09:21.000Z,1483803772992245762,"Wordle 214 3/6

⬛⬛⬛⬛⬛
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩

STARTED OUT WITH NOTHING NOW I MADE IT"
2,2022-01-19T14:09:21.000Z,1483803772673478661,"Wordle 214 3/6

🟩🟨⬜🟩🟨
🟩⬜🟨🟩⬜
🟩🟩🟩🟩🟩"
3,2022-01-19T14:09:21.000Z,1483803771918589959,"Wordle 214 3/6

⬜⬜⬜⬜⬜
🟨⬜🟩🟩⬜
🟩🟩🟩🟩🟩"
4,2022-01-19T14:09:20.000Z,1483803767971934210,"Wordle 214 3/6

⬜⬜🟩⬜⬜
⬜⬜🟨🟨⬜
🟩🟩🟩🟩🟩"
5,2022-01-19T14:09:20.000Z,1483803766805696518,"@jrbateson Mine tried to do your Twitter handle for you.

Wordle 214 4/6*

⬛⬛🟩⬛⬛
⬛⬛🟩🟩🟩
🟩⬛🟩🟩🟩
🟩🟩🟩🟩🟩"
6,2022-01-19T14:09:20.000Z,1483803766491074562,"Wordle (ES) #13 6/6

⬜🟨⬜⬜⬜
⬜🟩🟩🟩⬜
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩
SU PUTA MADRE QUE SUBNORMAL
https://t.co/Yl3pT5S00H"
7,2022-01-19T14:09:20.000Z,1483803766432354306,"First time on the 3rd.
Wordle 214 3/6

⬛⬛⬛⬛🟩
⬛🟨⬛🟩🟩
🟩🟩🟩🟩🟩"
8,2022-01-19T14:09:19.000Z,1483803764108763142,"Wordle 214 3/6

🟨⬛⬛🟩⬛
⬛⬛⬛🟩🟩
🟩🟩🟩🟩🟩"
9,2022-01-19T14:09:19.000Z,1483803764108759040,"Wordle 214 4/6

⬜⬜🟨⬜⬜
⬜🟨🟩⬜⬜
🟩⬜🟩🟩⬜
🟩🟩🟩🟩🟩"
10,2022-01-19T14:09:19.000Z,1483803763538337793,"idk why i wanted the word to be “moist” so bad 🤦🏾‍♀️ 

#Wordle 214 4/6

⬛⬛⬛⬛⬛
⬛⬛🟩⬛🟩
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩"
11,2022-01-19T14:09:19.000Z,1483803762879725574,"Whoa!

Wordle 214 2/6

⬜🟩🟩🟩⬜
🟩🟩🟩🟩🟩"
12,2022-01-19T14:09:19.000Z,1483803762468999171,"Wordle 215 4/6

⬜🟩⬜🟨⬜
⬜🟩⬜🟨⬜
🟩🟩🟨🟩⬜
🟩🟩🟩🟩🟩"
13,2022-01-19T14:09:19.000Z,1483803761231679489,"Wordle 214 3/6

⬜⬜⬜⬜⬜
⬜🟨🟩⬜⬜
🟩🟩🟩🟩🟩"
14,2022-01-19T14:09:19.000Z,1483803761038483456,"Wordle 214 4/6

⬛🟨⬛⬛⬛
⬛🟨⬛⬛🟩
⬛⬛🟩⬛🟩
🟩🟩🟩🟩🟩
😵‍💫😵‍💫😵‍💫"
15,2022-01-19T14:09:19.000Z,1483803760996478981,"Wordle 214 2/6

🟨🟩🟨⬛⬛
🟩🟩🟩🟩🟩"
16,2022-01-19T14:09:18.000Z,1483803760401002498,"Wordle 214 4/6

⬛⬛⬛⬛⬛
⬛🟨🟨⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩  I really need to pay better attention to my yellow boxes. This would have been 3/6 🤣"
