,created_at,id,text
0,2022-01-19T16:16:35.000Z,1483835791147417600,"Bwiset @dvrgntM

Wordle 215 6/6

⬛⬛⬛⬛⬛
🟩🟩⬛⬛⬛
🟩🟩⬛⬛⬛
🟩🟩⬛⬛🟨
🟩🟩🟨⬛⬛
🟩🟩🟩🟩🟩"
1,2022-01-19T16:16:35.000Z,1483835789540737026,"Sometimes better to be lucky than to be good?

Wordle 214 2/6

⬜⬜⬜🟨🟨
🟩🟩🟩🟩🟩"
2,2022-01-19T16:16:34.000Z,1483835787326427138,"Wordle 214 3/6*

⬜⬜🟩⬜⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
3,2022-01-19T16:16:34.000Z,1483835785854033925,"@dmosco12 Wordle 214 3/6

⬛⬛⬛🟨🟨
⬛🟨🟨⬛⬛
🟩🟩🟩🟩🟩"
4,2022-01-19T16:16:34.000Z,1483835785786937350,"Wordle 214 5/6

⬜🟩⬜⬜⬜
⬜⬜⬜🟨⬜
⬜🟩🟩⬜⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩
Another day.  Hoping I can get better than 5 out of 6 one of these days."
5,2022-01-19T16:16:34.000Z,1483835785615126529,"Wordle 215 4/6

⬛🟩⬛⬛🟨
🟩🟩⬛🟨⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩"
6,2022-01-19T16:16:34.000Z,1483835784738140160,"Wordle 214 3/6

🟨⬜🟩⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩🟩🟩"
7,2022-01-19T16:16:33.000Z,1483835781814706176,"Wordle 215 4/6

⬜🟩⬜⬜🟩
⬜⬜⬜🟨⬜
⬜🟩⬜⬜⬜
🟩🟩🟩🟩🟩"
8,2022-01-19T16:16:33.000Z,1483835781621768197,"Wordle 214 4/6

⬜🟨⬜⬜⬜
⬜⬜🟨🟩🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩"
9,2022-01-19T16:16:33.000Z,1483835781533872134,"Wordle 214 3/6

🟨⬜🟩⬜⬜
⬜⬜🟩⬜🟩
🟩🟩🟩🟩🟩"
10,2022-01-19T16:16:32.000Z,1483835779952615424,"Wordle 214 5/6

⬛🟨⬛⬛⬛
⬛⬛🟩🟩⬛
🟩⬛🟩🟩🟩
🟩⬛🟩🟩🟩
🟩🟩🟩🟩🟩"
11,2022-01-19T16:16:32.000Z,1483835776475738113,"Wordle 215 6/6

⬜🟩⬜🟨⬜
⬜⬜⬜⬜⬜
⬜⬜⬜⬜⬜
⬜⬜🟨⬜⬜
⬜⬜🟩⬜🟩
🟩🟩🟩🟩🟩

ギリッギリや…"
