,created_at,id,text,withheld
0,2022-01-19T14:19:35.000Z,1483806344746577936,"Wordle 214 4/6*

⬛⬛⬛⬛⬛
⬛⬛🟨⬛🟩
⬛⬛🟨🟨🟩
🟩🟩🟩🟩🟩",
1,2022-01-19T14:19:34.000Z,1483806344247455753,"Wordle 214 4/6

⬜⬜🟨⬜⬜
🟨🟩🟨⬜⬜
🟨🟩🟨🟨⬜
🟩🟩🟩🟩🟩",
2,2022-01-19T14:19:34.000Z,1483806344243253253,"Completely forgot about that yellow 2nd letter I had on my first guess until the end 😡

Wordle 214 4/6

⬛🟨🟩🟩⬛
⬛⬛🟩🟩⬛
⬛🟩🟩🟩⬛
🟩🟩🟩🟩🟩",
3,2022-01-19T14:19:34.000Z,1483806343622451208,"Wordle 214 4/6

⬜⬜🟨⬜🟩
⬜⬜🟩⬜⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",
4,2022-01-19T14:19:34.000Z,1483806342775459843,"Wordle 215 3/6

⬜🟩⬜🟨⬜
🟩🟩🟨🟩⬜
🟩🟩🟩🟩🟩",
5,2022-01-19T14:19:34.000Z,1483806342548762628,"Wordle 214 4/6

⬜🟨🟨⬜⬜
🟨⬜🟨⬜⬜
⬜⬜🟩🟩🟩
🟩🟩🟩🟩🟩",
6,2022-01-19T14:19:34.000Z,1483806342389370892,"3/3 best day yet

Wordle 214 2/6

🟩⬜⬜🟨🟨
🟩🟩🟩🟩🟩",
7,2022-01-19T14:19:34.000Z,1483806341256777728,"Wordle 214 3/6

⬛⬛🟩⬛⬛
⬛⬛🟩🟩🟩
🟩🟩🟩🟩🟩",
8,2022-01-19T14:19:34.000Z,1483806341172891650,"Wordle 214 3/6

🟩⬜⬜⬜⬜
🟩🟨⬜🟨🟩
🟩🟩🟩🟩🟩",
9,2022-01-19T14:19:34.000Z,1483806341034614784,"Wordle (ES) #13 4/6

🟨⬜⬜⬜⬜
⬜⬜🟨🟨🟨
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩

https://t.co/bfCWZUdmag",
10,2022-01-19T14:19:33.000Z,1483806339675693061,"What the what

Wordle 214 2/6

⬜🟨🟨🟨⬜
🟩🟩🟩🟩🟩",
11,2022-01-19T14:19:33.000Z,1483806337616154627,"was easy yet so hard to guess 

Wordle 214 4/6

⬛⬛🟨⬛⬛
⬛🟩⬛⬛⬛
⬛🟩⬛🟨⬛
🟩🟩🟩🟩🟩",
12,2022-01-19T14:19:33.000Z,1483806337435770886,"Wordle 214 3/6

🟩⬜⬜🟨⬜
🟩🟨🟨⬜⬜
🟩🟩🟩🟩🟩",
13,2022-01-19T14:19:33.000Z,1483806337054171136,"Wordle 214 3/6

⬛⬛🟩⬛⬛
⬛🟩🟩🟩⬛
🟩🟩🟩🟩🟩",
